Test ID,Platform,Category,Test Name,Status,Duration (s),Executed By,Timestamp
TC-0057,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 057,PASS,0.46,Automated Runner,2026-07-27 10:28:43
TC-0058,Web (Selenium),User Profile,Verify User Profile functionality - Case 058,PASS,3.85,Automated Runner,2026-07-27 08:47:43
TC-0059,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 059,PASS,4.41,Automated Runner,2026-07-27 09:41:43
TC-0060,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 060,PASS,3.29,Automated Runner,2026-07-27 08:53:43
TC-0061,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 061,FAIL,3.16,Automated Runner,2026-07-27 09:32:43
TC-0062,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 062,SKIP,3.75,Automated Runner,2026-07-27 10:22:43
TC-0063,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 063,PASS,4.44,Automated Runner,2026-07-27 10:32:43
TC-0064,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 064,PASS,3.96,Automated Runner,2026-07-27 08:49:43
TC-0065,API (PyTest),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 065,PASS,0.38,Automated Runner,2026-07-27 09:46:43
TC-0066,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 066,PASS,1.69,Automated Runner,2026-07-27 09:07:43
TC-0067,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 067,PASS,3.02,Automated Runner,2026-07-27 09:53:43
TC-0068,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 068,PASS,0.63,Automated Runner,2026-07-27 09:36:43
TC-0069,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 069,PASS,4.32,Automated Runner,2026-07-27 09:17:43
TC-0070,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 070,PASS,3.82,Automated Runner,2026-07-27 10:28:43
TC-0071,API (PyTest),Backend API Integration,Verify Backend API Integration functionality - Case 071,PASS,0.39,Automated Runner,2026-07-27 10:13:43
TC-0072,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 072,PASS,1.41,Automated Runner,2026-07-27 09:02:43
TC-0073,API (PyTest),NeonDB Operations,Verify NeonDB Operations functionality - Case 073,FAIL,2.54,Automated Runner,2026-07-27 09:30:43
TC-0074,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 074,FAIL,2.16,Automated Runner,2026-07-27 10:06:43
TC-0075,Performance (JMeter),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 075,PASS,2.93,Automated Runner,2026-07-27 08:57:43
TC-0076,API (PyTest),Backend API Integration,Verify Backend API Integration functionality - Case 076,PASS,2.84,Automated Runner,2026-07-27 10:28:43
TC-0077,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 077,PASS,1.0,Automated Runner,2026-07-27 08:55:43
TC-0078,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 078,PASS,3.17,Automated Runner,2026-07-27 09:52:43
TC-0079,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 079,PASS,2.55,Automated Runner,2026-07-27 10:25:43
TC-0080,Performance (JMeter),NeonDB Operations,Verify NeonDB Operations functionality - Case 080,PASS,4.21,Automated Runner,2026-07-27 09:33:43
TC-0081,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 081,PASS,3.0,Automated Runner,2026-07-27 10:31:43
TC-0082,Performance (JMeter),User Profile,Verify User Profile functionality - Case 082,PASS,3.64,Automated Runner,2026-07-27 10:32:43
TC-0083,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 083,PASS,4.06,Automated Runner,2026-07-27 09:04:43
TC-0084,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 084,PASS,1.48,Automated Runner,2026-07-27 09:52:43
TC-0085,Performance (JMeter),Authentication,Verify Authentication functionality - Case 085,PASS,0.6,Automated Runner,2026-07-27 08:49:43
TC-0086,API (PyTest),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 086,PASS,4.06,Automated Runner,2026-07-27 08:46:43
TC-0087,Performance (JMeter),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 087,PASS,1.49,Automated Runner,2026-07-27 10:17:43
TC-0088,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 088,PASS,0.5,Automated Runner,2026-07-27 09:47:43
TC-0089,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 089,FAIL,1.73,Automated Runner,2026-07-27 09:41:43
TC-0090,Performance (JMeter),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 090,PASS,4.05,Automated Runner,2026-07-27 10:10:43
TC-0091,Web (Selenium),Authentication,Verify Authentication functionality - Case 091,PASS,1.99,Automated Runner,2026-07-27 09:13:43
TC-0092,API (PyTest),Backend API Integration,Verify Backend API Integration functionality - Case 092,PASS,2.58,Automated Runner,2026-07-27 09:56:43
TC-0093,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 093,PASS,2.0,Automated Runner,2026-07-27 09:17:43
TC-0094,Performance (JMeter),Authentication,Verify Authentication functionality - Case 094,PASS,1.57,Automated Runner,2026-07-27 10:12:43
TC-0095,API (PyTest),Backend API Integration,Verify Backend API Integration functionality - Case 095,PASS,1.97,Automated Runner,2026-07-27 08:46:43
TC-0096,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 096,PASS,0.49,Automated Runner,2026-07-27 09:36:43
TC-0097,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 097,PASS,0.67,Automated Runner,2026-07-27 10:29:43
TC-0098,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 098,PASS,3.76,Automated Runner,2026-07-27 10:07:43
TC-0099,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 099,PASS,1.98,Automated Runner,2026-07-27 08:47:43
TC-0100,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 100,PASS,4.44,Automated Runner,2026-07-27 08:44:43
TC-0101,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 101,PASS,2.11,Automated Runner,2026-07-27 09:29:43
TC-0102,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 102,PASS,0.94,Automated Runner,2026-07-27 10:13:43
TC-0103,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 103,PASS,3.18,Automated Runner,2026-07-27 08:40:43
TC-0104,API (PyTest),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 104,PASS,1.73,Automated Runner,2026-07-27 10:24:43
TC-0105,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 105,PASS,1.71,Automated Runner,2026-07-27 08:56:43
TC-0106,API (PyTest),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 106,PASS,1.57,Automated Runner,2026-07-27 09:10:43
TC-0107,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 107,PASS,2.29,Automated Runner,2026-07-27 09:38:43
TC-0108,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 108,PASS,0.14,Automated Runner,2026-07-27 09:37:43
TC-0109,Web (Selenium),Authentication,Verify Authentication functionality - Case 109,PASS,4.37,Automated Runner,2026-07-27 10:30:43
TC-0110,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 110,PASS,0.19,Automated Runner,2026-07-27 09:32:43
TC-0111,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 111,PASS,0.77,Automated Runner,2026-07-27 09:22:43
TC-0112,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 112,PASS,1.41,Automated Runner,2026-07-27 08:40:43
TC-0113,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 113,PASS,2.14,Automated Runner,2026-07-27 10:24:43
TC-0114,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 114,PASS,0.15,Automated Runner,2026-07-27 10:20:43
TC-0115,Web (Selenium),Backend API Integration,Verify Backend API Integration functionality - Case 115,PASS,3.29,Automated Runner,2026-07-27 09:41:43
TC-0116,Performance (JMeter),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 116,PASS,2.05,Automated Runner,2026-07-27 10:34:43
TC-0117,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 117,PASS,0.47,Automated Runner,2026-07-27 09:43:43
TC-0118,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 118,PASS,0.96,Automated Runner,2026-07-27 09:39:43
TC-0119,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 119,PASS,4.14,Automated Runner,2026-07-27 08:51:43
TC-0120,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 120,PASS,0.41,Automated Runner,2026-07-27 09:58:43
TC-0121,API (PyTest),Authentication,Verify Authentication functionality - Case 121,PASS,1.45,Automated Runner,2026-07-27 09:34:43
TC-0122,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 122,PASS,4.15,Automated Runner,2026-07-27 08:42:43
TC-0123,API (PyTest),Authentication,Verify Authentication functionality - Case 123,PASS,1.81,Automated Runner,2026-07-27 10:08:43
TC-0124,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 124,PASS,3.4,Automated Runner,2026-07-27 09:52:43
TC-0125,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 125,PASS,1.03,Automated Runner,2026-07-27 10:16:43
TC-0126,Performance (JMeter),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 126,PASS,1.56,Automated Runner,2026-07-27 09:02:43
TC-0127,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 127,PASS,4.28,Automated Runner,2026-07-27 08:56:43
TC-0128,Performance (JMeter),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 128,PASS,3.65,Automated Runner,2026-07-27 09:05:43
TC-0129,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 129,PASS,0.1,Automated Runner,2026-07-27 08:57:43
TC-0130,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 130,PASS,1.01,Automated Runner,2026-07-27 10:31:43
TC-0131,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 131,PASS,1.75,Automated Runner,2026-07-27 09:52:43
TC-0132,Performance (JMeter),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 132,PASS,3.32,Automated Runner,2026-07-27 10:26:43
TC-0133,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 133,PASS,2.66,Automated Runner,2026-07-27 09:58:43
TC-0134,API (PyTest),User Profile,Verify User Profile functionality - Case 134,PASS,4.41,Automated Runner,2026-07-27 10:31:43
TC-0135,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 135,PASS,3.28,Automated Runner,2026-07-27 09:37:43
TC-0136,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 136,PASS,1.33,Automated Runner,2026-07-27 08:44:43
TC-0137,Performance (JMeter),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 137,PASS,1.89,Automated Runner,2026-07-27 09:44:43
TC-0138,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 138,PASS,1.01,Automated Runner,2026-07-27 08:47:43
TC-0139,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 139,PASS,1.25,Automated Runner,2026-07-27 09:05:43
TC-0140,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 140,PASS,1.7,Automated Runner,2026-07-27 09:48:43
TC-0141,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 141,PASS,3.57,Automated Runner,2026-07-27 09:24:43
TC-0142,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 142,PASS,2.56,Automated Runner,2026-07-27 09:54:43
TC-0143,API (PyTest),NeonDB Operations,Verify NeonDB Operations functionality - Case 143,PASS,3.77,Automated Runner,2026-07-27 09:27:43
TC-0144,API (PyTest),NeonDB Operations,Verify NeonDB Operations functionality - Case 144,FAIL,3.76,Automated Runner,2026-07-27 10:19:43
TC-0145,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 145,PASS,3.11,Automated Runner,2026-07-27 09:43:43
TC-0146,Performance (JMeter),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 146,PASS,3.73,Automated Runner,2026-07-27 09:56:43
TC-0147,API (PyTest),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 147,PASS,2.34,Automated Runner,2026-07-27 08:48:43
TC-0148,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 148,FAIL,4.04,Automated Runner,2026-07-27 09:22:43
TC-0149,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 149,PASS,0.3,Automated Runner,2026-07-27 10:12:43
TC-0150,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 150,PASS,4.0,Automated Runner,2026-07-27 08:50:43
TC-0151,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 151,PASS,1.53,Automated Runner,2026-07-27 09:09:43
TC-0152,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 152,PASS,4.38,Automated Runner,2026-07-27 08:50:43
TC-0153,API (PyTest),Authentication,Verify Authentication functionality - Case 153,PASS,2.68,Automated Runner,2026-07-27 09:22:43
TC-0154,Performance (JMeter),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 154,PASS,1.87,Automated Runner,2026-07-27 08:52:43
TC-0155,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 155,PASS,3.82,Automated Runner,2026-07-27 08:37:43
TC-0156,Performance (JMeter),NeonDB Operations,Verify NeonDB Operations functionality - Case 156,PASS,4.11,Automated Runner,2026-07-27 09:51:43
TC-0157,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 157,PASS,3.25,Automated Runner,2026-07-27 09:58:43
TC-0158,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 158,PASS,3.9,Automated Runner,2026-07-27 10:29:43
TC-0159,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 159,PASS,0.14,Automated Runner,2026-07-27 10:31:43
TC-0160,API (PyTest),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 160,PASS,4.5,Automated Runner,2026-07-27 09:36:43
TC-0161,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 161,PASS,2.9,Automated Runner,2026-07-27 08:36:43
TC-0162,API (PyTest),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 162,PASS,0.26,Automated Runner,2026-07-27 10:14:43
TC-0163,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 163,PASS,3.72,Automated Runner,2026-07-27 09:33:43
TC-0164,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 164,PASS,4.48,Automated Runner,2026-07-27 09:19:43
TC-0165,Web (Selenium),Authentication,Verify Authentication functionality - Case 165,PASS,2.76,Automated Runner,2026-07-27 09:10:43
TC-0166,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 166,FAIL,3.72,Automated Runner,2026-07-27 08:44:43
TC-0167,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 167,PASS,2.71,Automated Runner,2026-07-27 09:17:43
TC-0168,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 168,PASS,1.18,Automated Runner,2026-07-27 10:24:43
TC-0169,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 169,PASS,3.71,Automated Runner,2026-07-27 10:22:43
TC-0170,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 170,PASS,0.12,Automated Runner,2026-07-27 09:07:43
TC-0171,API (PyTest),User Profile,Verify User Profile functionality - Case 171,PASS,1.32,Automated Runner,2026-07-27 10:18:43
TC-0172,Performance (JMeter),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 172,PASS,1.83,Automated Runner,2026-07-27 10:30:43
TC-0173,API (PyTest),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 173,PASS,3.14,Automated Runner,2026-07-27 09:45:43
TC-0174,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 174,PASS,2.62,Automated Runner,2026-07-27 08:53:43
TC-0175,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 175,PASS,1.26,Automated Runner,2026-07-27 09:21:43
TC-0176,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 176,PASS,2.62,Automated Runner,2026-07-27 09:25:43
TC-0177,API (PyTest),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 177,PASS,0.44,Automated Runner,2026-07-27 09:33:43
TC-0178,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 178,PASS,1.2,Automated Runner,2026-07-27 10:09:43
TC-0179,Web (Selenium),Authentication,Verify Authentication functionality - Case 179,PASS,1.23,Automated Runner,2026-07-27 08:53:43
TC-0180,Performance (JMeter),Authentication,Verify Authentication functionality - Case 180,PASS,0.17,Automated Runner,2026-07-27 09:36:43
TC-0181,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 181,PASS,3.56,Automated Runner,2026-07-27 08:42:43
TC-0182,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 182,PASS,1.95,Automated Runner,2026-07-27 08:37:43
TC-0183,API (PyTest),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 183,PASS,3.68,Automated Runner,2026-07-27 08:57:43
TC-0184,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 184,PASS,0.53,Automated Runner,2026-07-27 08:47:43
TC-0185,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 185,PASS,3.12,Automated Runner,2026-07-27 08:46:43
TC-0186,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 186,PASS,0.44,Automated Runner,2026-07-27 09:49:43
TC-0187,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 187,PASS,0.57,Automated Runner,2026-07-27 10:16:43
TC-0188,Performance (JMeter),NeonDB Operations,Verify NeonDB Operations functionality - Case 188,PASS,2.58,Automated Runner,2026-07-27 09:34:43
