Test ID,Platform,Category,Test Name,Status,Duration (s),Executed By,Timestamp
TC-0308,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 308,PASS,3.07,Automated Runner,2026-07-27 09:20:43
TC-0315,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 315,FAIL,2.56,Automated Runner,2026-07-27 09:54:43
TC-0317,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 317,PASS,4.02,Automated Runner,2026-07-27 08:40:43
TC-0318,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 318,PASS,2.35,Automated Runner,2026-07-27 10:26:43
TC-0319,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 319,PASS,2.05,Automated Runner,2026-07-27 09:46:43
TC-0327,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 327,PASS,3.43,Automated Runner,2026-07-27 09:08:43
TC-0329,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 329,PASS,0.34,Automated Runner,2026-07-27 10:30:43
TC-0333,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 333,PASS,3.63,Automated Runner,2026-07-27 09:15:43
TC-0336,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 336,PASS,3.67,Automated Runner,2026-07-27 09:49:43
TC-0340,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 340,PASS,1.14,Automated Runner,2026-07-27 09:50:43
TC-0346,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 346,SKIP,2.85,Automated Runner,2026-07-27 09:25:43
TC-0351,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 351,PASS,3.47,Automated Runner,2026-07-27 08:39:43
TC-0352,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 352,PASS,2.69,Automated Runner,2026-07-27 09:20:43
TC-0356,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 356,PASS,2.06,Automated Runner,2026-07-27 09:31:43
TC-0370,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 370,PASS,0.93,Automated Runner,2026-07-27 09:43:43
TC-0373,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 373,PASS,3.48,Automated Runner,2026-07-27 09:43:43
TC-0376,Mobile (Android/Appium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 376,PASS,2.24,Automated Runner,2026-07-27 10:31:43
TC-0378,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 378,PASS,1.85,Automated Runner,2026-07-27 10:12:43
TC-0384,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 384,PASS,2.41,Automated Runner,2026-07-27 09:47:43
TC-0386,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 386,PASS,3.01,Automated Runner,2026-07-27 09:06:43
TC-0390,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 390,PASS,2.3,Automated Runner,2026-07-27 09:56:43
TC-0391,Mobile (Android/Appium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 391,PASS,3.68,Automated Runner,2026-07-27 09:51:43
TC-0394,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 394,PASS,3.8,Automated Runner,2026-07-27 10:17:43
TC-0395,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 395,PASS,4.41,Automated Runner,2026-07-27 09:58:43
TC-0396,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 396,PASS,0.59,Automated Runner,2026-07-27 10:26:43
TC-0398,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 398,PASS,2.2,Automated Runner,2026-07-27 09:40:43
TC-0399,Mobile (Android/Appium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 399,PASS,3.35,Automated Runner,2026-07-27 09:34:43
TC-0400,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 400,PASS,2.68,Automated Runner,2026-07-27 10:03:43
